Date Added,Song,Artist,Day 1,Day 2,Day 3,Day 4,Day 5,Day 6,Day 7,Day 8,Day 9,Day 10,Day 11,Day 12,Day 13,Day 14,Day 15,Day 16,Day 17,Day 18,Day 19,Day 20,Day 21,Day 22,Day 23,Day 24,Day 25,Day 26,Day 27,Day 28,Day 29,Day 30,Day 31
01/07/2020,Kraazy,LikyBo,x,x,10,27,35,34,47,68,100,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,,
01/09/2020,death bed (coffee for your head) (feat. beabadoobee),Powfu,41,59,61,51,50,42,49,65,x,x,x,x,x,x,x,x,,,,,,,,,,,,,,,
01/13/2020,Whip Out The Stick,PYT NY X Young Ant,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,,,,,,,,
01/14/2020,Roscoes,ZaeHD & CEO,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,,,,,,,,,,,,,,
01/17/2020,Opaul,Freddie Dredd,88,x,x,88,97,x,x,x,x,92,91,x,82,x,x,x,97,,,,,,,,,,,,,,
01/28/2020,I Did It,Kris Yute,x,x,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,
01/28/2020,Hit Tha Roof,Speed Gang,x,x,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,
01/29/2020,Bring My Name Up,Matthew Holt,x,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,
01/31/2020,Bruh,Hovey Benjamin,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02/01/2020,Bussin,Tay Money,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02/19/2020,Walked In,Ultradiox,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,
02/19/2020,My Heart Went Oops,Tiagz,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,
02/24/2020,Stuck Up,Music with Edgar,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,,,,
02/24/2020,She Gon Go,Trill Ryan,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,,,,
02/24/2020,3 Vets,The Future Kingz,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,,,,
02/27/2020,Comatose,Jadn (Jaden Hossler),39,26,75,81,75,95,92,60,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,,,,,,,
02/27/2020,Genocide,Lil Darkie,56,42,61,40,30,30,36,47,x,x,x,x,x,x,x,x,x,x,x,x,,,,,,,,,,,
02/28/2020,Now I'm a Baby,Garrett Watts (YouTuber),60,x,x,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,
02/28/2020,Your Side,Witt Lowry,98,x,x,x,x,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,
02/28/2020,Pressure,Yungster Jack,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,,,,,,,,,,
03/01/2020,1999 She,Deaton Chris Anthony,x,x,x,x,x,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,
03/03/2020,She Belongs to the Streets (Toxic),Rontae Don't Play,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,,,,,,,,,,,,
03/03/2020,Need A Freak,Mighty Bay,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,,,,,,,,,,,,
03/03/2020,French Kiss,Jeremy Kingg,x,x,x,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,
03/03/2020,Eighteen,Trust'N,89,72,70,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,
03/05/2020,Divine,Alex Aster,x,x,x,x,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,
03/06/2020,My Tech,Westmadeishy,x,x,x,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,
03/08/2020,Ace,Nour Khodr,x,x,x,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,
03/08/2020,Red Head,Cochise,x,x,x,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,
