Date Added,Song,Artist,Day 1,Day 2,Day 3,Day 4,Day 5,Day 6,Day 7,Day 8,Day 9,Day 10,Day 11,Day 12,Day 13,Day 14,Day 15,Day 16,Day 17,Day 18,Day 19,Day 20,Day 21,Day 22,Day 23,Day 24,Day 25,Day 26,Day 27,Day 28,Day 29,Day 30,Day 31
01/07/2020,Kraazy,LikyBo,x,x,x,171,171,128,118,117,121,133,135,141,153,165,165,174,182,195,x,x,x,x,x,x,x,x,x,,,,
01/09/2020,death bed (coffee for your head) (feat. beabadoobee),Powfu,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,,,,,,,,,,,,,
01/13/2020,Whip Out The Stick,PYT NY X Young Ant,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,,,,,,,,
01/14/2020,Roscoes,ZaeHD & CEO,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,,,,,,,,,,,,,,
01/17/2020,Opaul,Freddie Dredd,x,x,180,125,82,69,62,59,59,61,61,69,74,80,84,87,91,,,,,,,,,,,,,,
01/28/2020,I Did It,Kris Yute,x,x,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,
01/28/2020,Hit Tha Roof,Speed Gang,x,x,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,
01/29/2020,Bring My Name Up,Matthew Holt,x,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,
01/31/2020,Bruh,Hovey Benjamin,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02/01/2020,Bussin,Tay Money,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02/19/2020,Walked In,Ultradiox,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,
02/19/2020,My Heart Went Oops,Tiagz,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,
02/24/2020,Stuck Up,Music with Edgar,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,,,
02/24/2020,She Gon Go,Trill Ryan,x,200,163,145,126,120,117,135,146,159,163,169,x,183,185,189,191,197,x,x,x,x,x,x,x,x,,,,,
02/24/2020,3 Vets,The Future Kingz,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,,,
02/27/2020,Comatose,Jadn (Jaden Hossler),x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,,,,,,
02/27/2020,Genocide,Lil Darkie,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,,,,,,,,,
02/28/2020,Now I'm a Baby,Garrett Watts (YouTuber),x,x,x,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,
02/28/2020,Your Side,Witt Lowry,x,x,x,x,x,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,
02/28/2020,Pressure,Yungster Jack,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,,,,,,,,,,
03/01/2020,1999 She,Deaton Chris Anthony,x,x,x,x,x,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,
03/03/2020,She Belongs to the Streets (Toxic),Rontae Don't Play,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,,,,,,,,,,,
03/03/2020,Need A Freak,Mighty Bay,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,,,,,,,,,,,
03/03/2020,French Kiss,Jeremy Kingg,x,x,x,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,
03/03/2020,Eighteen,Trust'N,x,x,x,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,
03/05/2020,Divine,Alex Aster,x,x,x,x,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,
03/06/2020,My Tech,Westmadeishy,x,x,x,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,
03/08/2020,Ace,Nour Khodr,x,x,x,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,
03/08/2020,Red Head,Cochise,x,x,x,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,
03/10/2020,Hit Yo Groove,RunitupTahj,x,x,x,x,x,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,
03/10/2020,Drown,Andre Swilley,x,x,x,x,x,x,x,x,x,x,x,,,,,,,,,,,,,,,,,,,,
03/11/2020,Pew Pew Pew,Auntie Hammy,x,x,x,x,x,x,x,x,x,x,,,,,,,,,,,,,,,,,,,,,
03/12/2020,Corona Virus,Lil Nix,x,x,x,x,x,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,
03/12/2020,Nana Fanatic,Young Fanatic,x,x,x,x,x,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,
03/15/2020,Skinny Legend Anthem,Ava Louise,x,x,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,
03/15/2020,Comments,Brokeasf,x,x,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,
03/15/2020,Friends,Laundry Day,190,139,110,98,89,101,,,,,,,,,,,,,,,,,,,,,,,,,
03/16/2020,Take It,PXTN,180,148,132,131,160,,,,,,,,,,,,,,,,,,,,,,,,,,
03/17/2020,Tank,Kai Ca$h,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/18/2020,The Drip,Kiiingsam,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/26/2020,Rockstar Shit,Blind.See,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04/01/2020,Outta There,Moe,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04/22/2020,JoJo Pose,Apollo Fresh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05/18/2020,Wipe It Down,BMW Kenny,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/13/2020,Hatchback,Cochise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/17/2020,Then Leave,Beatking,54,54,54,48,49,48,53,52,45,47,45,45,46,45,,,,,,,,,,,,,,,,,
06/19/2020,Stunnin',Curtis Waters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/19/2020,I See Red,Everybody Loves an Outlaw,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,,,,,,,,,,,,,,,
