Date Added,Song,Artist,Day 1,Day 2,Day 3,Day 4,Day 5,Day 6,Day 7,Day 8,Day 9,Day 10,Day 11,Day 12,Day 13,Day 14,Day 15,Day 16,Day 17,Day 18,Day 19,Day 20,Day 21,Day 22,Day 23,Day 24,Day 25,Day 26,Day 27,Day 28,Day 29,Day 30,Day 31
01/07/2020,Kraazy,LikyBo,0,0,4500000,5100000,5800000,6400000,7100000,7900000,8600000,9300000,10000000,10700000,11300000,11900000,12500000,13100000,13700000,14300000,14900000,15500000,16000000,16500000,17000000,17600000,18100000,18600000,19100000,,,,
01/09/2020,death bed (coffee for your head) (feat. beabadoobee),Powfu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
01/13/2020,Whip Out The Stick,PYT NY X Young Ant,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
01/14/2020,Roscoes,ZaeHD & CEO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000000,,,,,,,,,,,,,,,,
01/17/2020,Opaul,Freddie Dredd,0,2100000,2400000,2700000,3000000,3300000,3600000,4000000,4300000,4600000,5000000,5300000,5600000,5900000,6200000,6500000,6700000,,,,,,,,,,,,,,
01/28/2020,I Did It,Kris Yute,1100000,1200000,1300000,1400000,1500000,1500000,,,,,,,,,,,,,,,,,,,,,,,,,
01/28/2020,Hit Tha Roof,Speed Gang,1500000,1500000,1600000,1700000,1800000,1800000,,,,,,,,,,,,,,,,,,,,,,,,,
01/29/2020,Bring My Name Up,Matthew Holt,36600,56200,63200,69700,75300,,,,,,,,,,,,,,,,,,,,,,,,,,
01/31/2020,Bruh,Hovey Benjamin,0,1500000,1500000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02/01/2020,Bussin,Tay Money,191100,236100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02/19/2020,Walked In,Ultradiox,476100,531600,611800,719500,843100,968600,0,1280000,1450000,1630000,1820000,2000000,2170000,2370000,2580000,2800000,3020000,0,3440000,3620000,3820000,4020000,4210000,0,4580000,4760000,4920000,0,5260000,5430000,
02/19/2020,My Heart Went Oops,Tiagz,895000,1100000,1300000,1600000,1800000,2000000,0,2520000,2760000,3020000,3280000,3530000,3780000,4040000,4300000,4550000,4810000,0,5320000,5550000,5800000,6050000,6290000,0,6770000,7010000,7260000,0,7810000,8090000,
