Date Added,Song,Artist,Day 1,Day 2,Day 3,Day 4,Day 5,Day 6,Day 7,Day 8,Day 9,Day 10,Day 11,Day 12,Day 13,Day 14,Day 15,Day 16,Day 17,Day 18,Day 19,Day 20,Day 21,Day 22,Day 23,Day 24,Day 25,Day 26,Day 27,Day 28,Day 29,Day 30,Day 31
01/07/2020,Kraazy,LikyBo,0,0,6,5,5,4,0,2,3,3,3,3,4,5,4,0,0,0,5,5,5,0,8,7,7,9,12,,,,
01/09/2020,death bed (coffee for your head) (feat. beabadoobee),Powfu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
01/13/2020,Whip Out The Stick,PYT NY X Young Ant,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
01/14/2020,Roscoes,ZaeHD & CEO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
01/17/2020,Opaul,Freddie Dredd,0,28,21,16,8,7,7,7,7,7,8,10,12,11,13,14,17,,,,,,,,,,,,,,
01/28/2020,I Did It,Kris Yute,0,9,5,5,5,11,,,,,,,,,,,,,,,,,,,,,,,,,
01/28/2020,Hit Tha Roof,Speed Gang,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
01/29/2020,Bring My Name Up,Matthew Holt,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
01/31/2020,Bruh,Hovey Benjamin,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02/01/2020,Bussin,Tay Money,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02/19/2020,Walked In,Ultradiox,0,0,0,0,0,0,0,0,6,6,6,7,7,9,9,6,7,0,10,10,10,11,12,12,12,13,12,13,14,12,
02/19/2020,My Heart Went Oops,Tiagz,0,0,0,0,0,0,0,0,9,10,9,9,9,10,10,10,10,0,12,12,12,12,11,10,10,14,14,12,13,13,
02/24/2020,Stuck Up,Music with Edgar,0,0,0,0,0,0,0,0,8,8,8,8,0,9,9,20,19,18,19,19,21,22,30,33,31,,,,,,
02/24/2020,She Gon Go,Trill Ryan,0,0,0,0,25,18,11,11,11,11,11,11,0,13,13,7,8,8,8,8,9,10,10,10,9,,,,,,
02/24/2020,3 Vets,The Future Kingz,0,0,0,0,0,0,0,0,0,0,0,20,0,19,17,15,14,14,14,13,12,13,11,11,11,,,,,,
02/27/2020,Comatose,Jadn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
02/27/2020,Genocide,Lil Darkie,0,0,0,0,0,0,18,17,19,0,20,20,0,0,0,0,0,0,0,0,,,,,,,,,,,
02/28/2020,Now I'm a Baby,Garrett Watts (YouTuber),0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
02/28/2020,Your Side,Witt Lowry,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
02/28/2020,Pressure,Yungster Jack,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
03/01/2020,1999 She,Deaton Chris Anthony,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
