Date Added,Song,Artist,Day 1,Day 2,Day 3,Day 4,Day 5,Day 6,Day 7,Day 8,Day 9,Day 10,Day 11,Day 12,Day 13,Day 14,Day 15,Day 16,Day 17,Day 18,Day 19,Day 20,Day 21,Day 22,Day 23,Day 24,Day 25,Day 26,Day 27,Day 28,Day 29,Day 30,Day 31
01/07/2020,Krazy,LikyBo,106600,300000,405000,540000,810000,915000,1040000,1130000,1220000,1290000,1360000,1500000,1500000,1550000,1650000,1660000,1680000,1700000,1800000,1800000,1800000,1800000,1800000,1800000,1800000,1800000,1800000,,,,
01/09/2020,death bed (coffee for your head) (feat. beabadoobee),Powfu,27800,28700,30400,31500,32800,33700,34800,35700,36900,38700,40200,41600,43000,44300,46400,48600,,,,,,,,,,,,,,,
01/13/2020,Whip Out The Stick,PYT NY X Young Ant,543500,611600,822300,964000,1130000,445000,567400,718200,850900,950000,1100000,1200000,1300000,1400000,1500000,1600000,1600000,1700000,1800000,1900000,2000000,,,,,,,,,,
01/14/2020,Roscoes,ZaeHD & CEO,51300,72600,96500,131000,221300,290000,388200,466200,526000,592400,659000,765000,833000,890000,931300,,,,,,,,,,,,,,,,
01/17/2020,Opaul,Freddie Dredd,70300,162200,245700,343100,428900,495400,568000,637700,751000,841000,916000,973900,1000000,1100000,1200000,1300000,1400000,,,,,,,,,,,,,,
01/28/2020,I Did It,Kris Yute,70300,100900,135300,164000,194900,230700,,,,,,,,,,,,,,,,,,,,,,,,,
01/28/2020,Hit Tha Roof,Speed Gang,78200,92900,115300,138000,165500,191400,,,,,,,,,,,,,,,,,,,,,,,,,
01/29/2020,Bring My Name Up,Matthew Holt,7,7,7,7,6,,,,,,,,,,,,,,,,,,,,,,,,,,
01/31/2020,Bruh,Hovey Benjamin,6800,10100,12100,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02/01/2020,Bussin,Tay Money,36200,53200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02/19/2020,Walked In,Ultradiox,25200,32700,49700,93200,120600,146600,173100,204400,237700,276200,338200,386600,420400,450500,481100,512900,551200,0,643400,660700,684700,710300,731800,757500,794900,821200,846200,861700,881700,902300,
02/19/2020,My Heart Went Oops,Tiagz,181000,205900,240900,299500,332300,359700,387300,412300,437700,467000,523400,566600,600900,628000,656100,685100,724300,0,815000,837000,863100,885200,915700,952200,1000000,1100000,1100000,1100000,1200000,1200000,
02/24/2020,Stuck Up,Music with Edgar,4000,4200,4300,4400,4400,4600,4700,4800,4900,5000,5100,9200,0,14800,14900,15000,15100,15200,15300,15500,15600,15700,15800,16000,16000,16000,,,,,
02/24/2020,She Gon Go,Trill Ryan,27300,38100,50200,66000,87300,130700,170800,200700,227100,258200,289000,323400,0,436800,461500,490800,522100,551200,588500,642500,683200,728700,758900,795200,834700,865900,,,,,
02/24/2020,Vets,The Future Kingz,3100,3700,4200,5000,6000,16500,20400,0,0,0,0,36000,0,49700,51800,56900,62300,67400,74200,84200,91500,100000,106900,114800,127000,134500,,,,,
02/27/2020,Comatose,Jadn (Jaden Hossler),15900,16900,17900,18400,18800,19100,19300,19700,20100,0,20700,20800,21000,21100,21300,21500,21700,21900,22000,22500,22900,23200,23400,,,,,,,,
02/27/2020,Genocide,Lil Darkie,0,8500,17800,28100,38800,47800,54300,60200,66300,0,79800,82800,85800,88900,91800,95200,100300,103700,106800,108800,,,,,,,,,,,
02/28/2020,Now I'm a Baby,Garrett Watts,580,772,906,973,1000,1000,1000,,,,,,,,,,,,,,,,,,,,,,,,
02/28/2020,Your Side,Witt Lowry,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
02/28/2020,Pressure,Yungster Jack,79300,109200,144300,178800,211900,238100,267000,293600,0,371700,385800,402,415000,428400,444500,468400,485300,501600,513400,,,,,,,,,,,,
03/01/2020,1999 She,Deaton Chris Anthony,36100,37000,37600,38100,38600,39100,0,40500,40900,,,,,,,,,,,,,,,,,,,,,,
03/03/2020,She Belongs to the Streets (Toxic),Rontae Don't Play,2500000,2900000,3400000,3900000,0,5500000,5900000,6300000,6700000,7200000,7600000,8400000,9000000,9500000,9800000,10300000,10700000,11100000,,,,,,,,,,,,,
03/03/2020,Need A Freak,Mighty Bay,203500,245500,294400,354500,0,605300,663700,729500,790600,846900,913100,1000000,1100000,1200000,1200000,1300000,1300000,1400000,,,,,,,,,,,,,
03/03/2020,French Kiss,Jeremy Kingg,58700,59900,61500,63100,0,66600,67400,,,,,,,,,,,,,,,,,,,,,,,,
03/03/2020,Eighteen,Trust'N,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
03/05/2020,Divine,Alex Aster,2200,3000,0,23500,26600,30600,35700,40600,,,,,,,,,,,,,,,,,,,,,,,
03/06/2020,My Tech,Westmadeishy,122,0,244,280,304,322,334,,,,,,,,,,,,,,,,,,,,,,,,
03/08/2020,Ace,Nour Khodr,680,785,896,1000,1300,1500,1800,,,,,,,,,,,,,,,,,,,,,,,,
03/08/2020,Red Head,Cochise,23400,23700,24200,24700,25300,26000,27300,,,,,,,,,,,,,,,,,,,,,,,,
03/10/2020,Hit Yo Groove,RunitupTahj,101700,109700,119400,132600,153700,172200,193300,208300,228700,,,,,,,,,,,,,,,,,,,,,,
03/10/2020,Drown,Andre Swilley,2700,3700,4500,5400,6600,7500,8700,10600,13600,16300,18100,,,,,,,,,,,,,,,,,,,,
03/11/2020,Pew Pew Pew,Auntie Hammy,10800,26500,49700,88800,148700,215800,273400,360300,458400,559700,,,,,,,,,,,,,,,,,,,,,
03/12/2020,Corona Virus,Lil Nix,31900,106700,243900,372800,512300,604500,716200,,,,,,,,,,,,,,,,,,,,,,,,
03/12/2020,Nana Fanatic,Young Fanatic,2000000,2000000,2100000,2100000,2100000,2100000,2100000,,,,,,,,,,,,,,,,,,,,,,,,
03/15/2020,Skinny Legend Anthem,Ava Louise,43600,62700,77500,101800,144500,174600,,,,,,,,,,,,,,,,,,,,,,,,,
03/15/2020,Comments,Brokeasf,39200,45800,50700,57400,66900,74400,,,,,,,,,,,,,,,,,,,,,,,,,
03/15/2020,Friends,Laundry Day,24,56,66,76,105,124,,,,,,,,,,,,,,,,,,,,,,,,,
03/16/2020,Take It,PXTN,1,1,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,
03/17/2020,Tank,Kai Ca$h,4700,5000,5400,5600,0,13100,16300,16400,16400,16300,0,16000,16000,16000,0,16000,16000,15900,15900,15900,15800,15800,15800,15700,15600,15500,15400,15400,15300,,
03/18/2020,The Drip,Kiiingsam,7300,9400,10800,0,0,42600,55900,56400,57100,60300,0,65400,65400,65400,65600,65600,65600,65900,66000,66200,66800,66900,66900,67100,67400,67500,67500,67500,67500,,
03/26/2020,Rockstar Shit,Blind.See,12700,17300,0,0,32700,321500,477500,478100,479000,480400,0,470400,470400,470400,469300,469300,469300,467000,466200,464900,458700,458700,458000,455900,450200,443200,437500,436500,435400,,
04/01/2020,Outta There,Moe,182100,213200,0,0,0,563700,683000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
04/15/2020,JoJo Pose,Apollo Fresh,0,0,0,0,0,52400,117100,118500,120200,129800,0,153400,153400,153500,154600,154600,154600,157600,158600,160200,166700,166800,167700,170000,176600,184200,196300,198900,202400,,
05/18/2020,Wipe It Down,BMW Kenny,68900,130300,138600,245300,1200000,0,2600000,2600000,2600000,2600000,2600000,2600000,2600000,2600000,2700000,2700000,2800000,2900000,2900000,3000000,3000000,3100000,3200000,3300000,3300000,3300000,3400000,3400000,3400000,3500000,3500000
06/13/2020,Hatchback,Cochise,7266,7300,7725,7730,7769,8375,8399,10500,12100,14100,24100,24300,25600,30600,56700,102900,173600,190900,210200,231400,254700,287700,749300,954500,,,,,,,
06/17/2020,Then Leave,Beatking,115200,139400,201900,597000,604800,663900,888200,1500000,2100000,0,0,0,2000000,1900000,1900000,1900000,1900000,1900000,1900000,1800000,1800000,1800000,1800000,0,,,,,,,
06/19/2020,Stunnin',Curtis Waters,193800,194900,204400,235400,305900,426700,539900,556300,575500,598000,621100,641000,845100,903700,,,,,,,,,,,,,,,,,
06/19/2020,I See Red,Everybody Loves an Outlaw,32800,33000,36000,45700,84900,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
06/24/2020,Hood Baby,KBFR,573900,882800,1600000,2300000,2800000,2900000,3000000,3000000,3100000,3200000,3700000,3800000,0,3900000,4000000,4100000,4100000,4100000,4000000,4000000,4000000,,,,,,,,,,
06/24/2020,Body,Jordan Suaste,971,1018,1286,1522,1742,1769,1808,1892,1928,1963,3055,3408,3750,3817,4863,5099,5199,5531,7277,7476,7547,,,,,,,,,,
06/27/2020,z Don Corleon,Lil 2z,9455,11900,14700,15100,15500,16400,16700,16900,17200,17500,17700,20400,21600,23200,23600,26200,26600,26800,31100,31200,31300,,,,,,,,,,
07/06/2020,Medulla,9baby Eli,270,407,542,648,755,1121,1211,1310,1385,1502,1571,2415,2805,3298,3397,4700,4950,5121,5774,5800,5784,,,,,,,,,,
07/13/2020,Backyard Boy,Claire Rosinkranz,12700,13500,15700,18600,21800,24700,31200,35700,41800,51000,65000,101600,145100,181800,218200,268400,311800,362900,,,,,,,,,,,,,
08/02/2020,Splenda,Naliya,1809,0,2147,2397,2404,2573,,,,,,,,,,,,,,,,,,,,,,,,,
08/19/2020,Malibu,Lucus,0,2778,4200,5526,6387,7504,0,9568,12900,13200,14700,14800,15500,15700,15700,15700,0,15800,15700,15700,15700,,,,,,,,,,
08/21/2020,We All Tryna F***,Ysl Jalen,405600,441100,469000,491000,0,527000,632400,644400,739100,743700,796200,818300,820500,823000,0,827000,831500,836800,851200,855500,857500,,,,,,,,,,
09/09/2020,Lets Link,WhoHeem,731000,1200000,1400000,1500000,1500000,0,1600000,1700000,1700000,1800000,1800000,1900000,2000000,2000000,0,2100000,2100000,2100000,2200000,2300000,,,,,,,,,,,
09/22/2020,Convenient,Griffin Johnson,0,0,0,6103,6938,7511,7775,,,,,,,,,,,,,,,,,,,,,,,,
09/25/2020,I'm Okay Now,badly,16,19,24,25,25,25,,,,,,,,,,,,,,,,,,,,,,,,,
09/26/2020,Capitalize Off Pain,Big $tunt,32600,0,0,50500,61200,73800,86000,91800,102900,112000,121700,131000,142000,149000,,,,,,,,,,,,,,,,,
09/30/2020,Pull Up,LMB DG,265600,276700,286800,292400,303100,310400,322800,332900,344300,350000,,,,,,,,,,,,,,,,,,,,,
10/02/2020,Whoopty,CJ,5231,5827,7348,8444,9524,10500,11600,12100,,,,,,,,,,,,,,,,,,,,,,,
10/04/2020,Debacle,Epwoppomusic,231300,246000,261000,276900,294100,304800,430000,,,,,,,,,,,,,,,,,,,,,,,,
10/08/2020,Die Very Rough,Mario Judah,5092,10700,22900,34800,52000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
10/11/2020,Fuck Up the Friendship,Leah Kate,3608,3955,4368,4852,5415,5880,6664,7072,7562,7895,8440,8895,9482,9850,10300,10800,11100,11500,11800,12200,12500,12600,12800,13000,13200,13600,14200,14800,15200,15600,16000
10/13/2020,BookBag 2.0,BigKayBeezy,0,516,534,540,542,543,551,557,568,574,580,580,583,591,594,602,610,612,615,617,622,625,629,632,643,647,648,652,656,661,663
10/29/2020,Violent,carolesdaughter,18100,22800,28100,35300,39600,46700,53300,58600,63400,69000,74900,79200,83500,87400,91600,96200,101600,105100,108000,110600,113200,115900,118200,120700,123600,125300,127800,130400,133100,,
10/30/2020,Love You From a Distance,Ashley Kutcher,1600,1837,1985,2101,2206,2290,2349,2439,2529,2566,2580,2619,2642,2662,2683,2715,2725,2738,2767,2786,2798,2805,2810,2824,2834,2831,2827,2851,2872,2887,2899
11/02/2020,Rat,Penelope Scott,2829,2839,2862,2888,2922,2961,3015,3048,3075,3091,3119,3154,3167,3172,3201,3225,3241,3248,3255,3288,3330,3358,3381,3388,3401,3422,3441,3450,3468,3476,3489
11/04/2020,Adderall (Corvette Corvette),Popp Hunna,940500,1200000,1400000,1700000,2100000,2500000,2900000,3300000,3800000,4400000,5100000,5900000,6500000,7100000,7700000,8300000,9000000,9700000,10500000,11000000,11500000,12100000,12700000,13200000,13900000,14500000,14900000,15300000,15700000,16000000,16400000
11/09/2020,L3ft 2ight,ShowtimeKwan,40500,43500,47300,50500,53400,55800,,,,,,,,,,,,,,,,,,,,,,,,,
11/10/2020,Crazy,J Nanks,231,256,281,307,323,341,350,380,405,428,450,460,465,521,545,565,576,586,593,598,596,604,610,610,612,615,624,621,,,
11/14/2020,Where U At?,MoneyatMidnight,403200,424500,447600,471800,492600,513900,530900,542300,554800,562000,572300,584500,592800,598900,606300,613400,618500,624600,629500,633300,636500,640500,,,,,,,,,
11/14/2020,Walk With Me,GoldFord,93,93,95,95,95,97,98,98,98,100,103,104,104,105,106,107,107,107,107,107,108,,,,,,,,,,
