V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31
3.781918381,1.873286675,1.095695979,-0.035345032,0.706900632,0.918970821,-0.353450316,-0.706900632,-0.742245663,-0.848280758,-0.918970821,-0.706900632,-0.388795348,-0.6715556,-0.6715556,-0.812935727,-0.777590695,-0.6715556,0.600865537,0.989660885,-0.141380126,-0.459485411,-0.530175474,-0.530175474,-0.494830442,0.530175474,0.6715556,0.353450316,-0.247415221,-0.459485411,-0.353450316
-0.278108456,-0.278108456,-0.278108456,-0.278108456,-0.278108456,-0.278108456,3.699805404,0.4193014,-0.647850505,-0.054988336,0.498349689,0.063584098,-0.766422939,-1.319760964,-1.161664386,-1.161664386,0.498349689,1.684074028,0.4193014,-0.450229782,-0.410705638,-0.252609059,-0.489753927,0.775018701,1.328356726,0.972639424,0.695970412,-0.17356077,-0.726898795,-1.122140241,-0.647850505
2.052973896,1.011552397,0.165397429,1.532263146,3.159484238,1.011552397,0.751197022,0.621019335,-0.16004679,-0.290224477,-0.16004679,0.230486272,-0.745846383,-1.136379445,-1.266557133,-1.201468289,-1.071290601,-0.550579852,1.07664124,-0.290224477,-0.029869102,-0.550579852,-0.680757539,-1.006201758,-0.353213555,-0.353213555,-0.353213555,-0.353213555,-0.353213555,-0.353213555,-0.353213555
-0.199290359,-0.199290359,2.484146514,1.137875183,-0.199290359,-0.199290359,-0.199290359,2.679572998,1.593870312,1.963009225,1.051018968,-0.199290359,-0.794675598,-1.033530189,-1.055244243,-0.990102082,-0.946673974,-0.664391276,-0.186682094,0.334455195,-0.273538309,-0.382108578,-0.599249115,-0.403822631,-0.295252363,-0.012969664,0.030458443,-0.490678846,-0.642677222,-0.664391276,-0.642677222
-2.465962249,-2.353894259,-2.140965077,-1.737520313,-1.132353165,-0.639254008,-0.594426812,-0.269429641,-0.224602445,0.06677433,0.100394727,0.223669516,0.279703512,0.324530708,0.369357904,0.4141851,0.492632693,0.52625309,0.571080286,0.604700683,0.649527879,0.683148276,0.716768673,0.739182271,0.784009468,0.828836664,0.862457061,0.896077458,0.929697855,0.974525051,-0.479105235
-2.070781542,-2.019267963,-1.967754384,-1.761700069,-1.401105018,-0.988996387,-0.988996387,-0.576887757,-0.4738606,-0.06175197,-0.010238391,0.144302346,0.195815924,0.247329503,0.298843082,0.350356661,0.453383818,0.504897397,0.556410976,0.659438133,0.710951712,0.762465291,0.81397887,0.865492448,0.865492448,0.968519606,0.968519606,1.020033185,1.071546763,1.123060342,-0.259497643
-2.283759229,-2.197433876,-2.067945846,-1.808969786,-1.312599005,-0.751484208,-0.72990287,-0.406182795,-0.319857442,0.003862633,0.04702531,0.176513339,0.241257354,0.262838693,0.306001369,0.349164046,0.457070738,0.521814752,0.586558767,0.608140106,0.651302782,0.694465459,0.737628136,0.759209474,0.823953489,0.888697504,0.953441519,0.996604195,1.039766872,1.082929549,-0.310111031
-2.428644713,-2.428644713,-2.195158561,-1.728186259,-1.261213956,-0.560755502,-0.560755502,-0.327269351,-0.327269351,0.139702952,0.139702952,0.373189104,0.373189104,0.373189104,0.373189104,0.373189104,0.606675255,0.606675255,0.606675255,0.606675255,0.606675255,0.606675255,0.606675255,0.606675255,0.840161406,0.840161406,0.840161406,0.840161406,0.840161406,0.840161406,-0.221823992
-3.023149227,-2.673501684,-2.111568133,-1.237449277,-0.613078665,-0.613078665,-0.238456298,-0.176019236,0.13616607,0.13616607,0.261040192,0.323477253,0.323477253,0.385914314,0.385914314,0.448351376,0.510788437,0.510788437,0.573225498,0.573225498,0.635662559,0.635662559,0.635662559,0.69809962,0.69809962,0.760536682,0.760536682,0.822973743,0.885410804,-0.207439177,-0.207439177
-3.108677303,-2.641241775,-1.794014881,-0.946787986,-0.888358545,-0.420923018,-0.333278856,0.01729779,0.075727231,0.221800833,0.280230274,0.309444995,0.338659715,0.367874436,0.484733318,0.513948038,0.572377479,0.6015922,0.63080692,0.660021641,0.689236361,0.718451082,0.747665802,0.776880523,0.806095243,0.835309963,0.864524684,0.922954125,-0.434116762,-0.434116762,-0.434116762
-1.914436401,-1.733465685,-0.894908309,-0.769483061,-0.378873001,-0.233738071,-0.131606082,-0.025890516,0.10670189,0.352177019,0.431015747,0.556440995,0.647822248,0.748162447,0.841335488,0.939883898,1.016930836,1.115479246,1.205068709,1.289282804,1.360954375,1.429042367,1.506089305,-0.932998281,-0.932998281,-0.932998281,-0.932998281,-0.932998281,-0.932998281,-0.932998281,-0.932998281
-1.767544952,-1.663125907,-1.515198928,-1.349868774,-1.154083066,-1.019208467,-0.914789423,-0.806019585,-0.710302128,-0.614584671,-0.510165626,-0.423149756,-0.331783092,-0.218662461,-0.079437069,-0.001122785,0.111997846,0.21641689,0.325186728,0.473113707,0.542726404,0.655847035,0.768967666,0.882088298,0.990858136,1.099627973,1.208397811,1.286712094,1.369377171,1.452042248,1.695686685
-1.132390313,-1.096598209,-1.064783006,-1.015071751,-1.015071751,-0.965360497,-0.915649242,-0.865937987,-0.816226732,-0.766515477,-0.667092968,-0.617381713,-0.567670458,-0.517959203,-0.468247948,-0.368825439,-0.219691674,-0.120269165,0.0288646,0.177998364,0.376843383,0.525977148,0.675110912,0.824244676,0.973378441,1.07280095,1.221934715,1.569913499,1.768758518,1.967603537,2.017314792
-1.941342827,-1.601525618,-1.465598735,-1.29569013,-1.193744968,-1.091799805,-1.023836364,-0.88790948,-0.785964318,-0.650037434,-0.446147109,-0.344201947,-0.242256784,-0.174293342,-0.07234818,0.029596983,0.165523866,0.369414191,0.437377633,0.505341075,0.573304516,0.675249679,0.743213121,0.981085166,1.049048608,1.150993771,1.184975492,1.218957212,1.286920654,1.388865817,1.456829258
-1.765018536,-1.506256856,-1.332159135,-1.233185774,-1.0292768,-1.0292768,-0.910031786,-0.790786773,-0.671541759,-0.552296745,-0.433051731,-0.433051731,-0.313806717,-0.313806717,-0.194561703,-0.075316689,-0.075316689,0.043928324,0.163173338,0.282418352,0.401663366,0.52090838,0.640153394,0.759398408,0.878643421,0.997888435,1.236378463,1.355623477,1.594113505,1.832603532,1.951848546
-1.402855025,-1.392176998,-1.377709993,-1.355492806,-1.312436244,-1.148821307,-1.062708182,-0.976595058,-0.924927183,-0.821591433,-0.735478309,-0.614919934,-0.296301373,-0.184354311,-0.020739374,0.108430313,0.228988688,0.34093575,0.418437562,0.513161999,0.633720374,0.745667436,0.831780561,0.917893685,0.96956156,1.090119935,1.176233059,1.262346184,1.357070621,1.469017683,1.56374212
-1.370455898,-1.342965195,-1.309976351,-1.212109447,-1.156028412,-1.094449237,-1.053762996,-0.994383077,-0.939401671,-0.849232164,-0.615011372,-0.521542981,-0.388487977,-0.279624792,-0.176259748,-0.06299805,0.044765506,0.171222742,0.324071052,0.414240558,0.523103743,0.638564697,0.705642013,0.882682142,1.01903603,1.155389919,1.257655335,1.402806248,1.499573523,1.609536337,1.718399521
-1.791061876,-1.688750403,-1.58643893,-1.467757622,-1.332706478,-1.087158943,-0.939830422,-0.792501901,-0.665635674,-0.555139284,-0.42008814,-0.321869126,-0.149985851,0.001435129,0.189688239,0.328831842,0.435235774,0.480252822,0.619396425,0.75035511,0.811741994,0.897683631,0.991810186,1.085936741,1.167785919,1.216895426,1.323299358,1.380593783,1.433795749,-0.157906739,-0.157906739
-1.857665094,-1.269067614,-1.269067614,-1.269067614,-1.269067614,-1.269067614,-1.269067614,-0.680470135,-0.680470135,-0.680470135,-0.680470135,-0.091872655,-0.091872655,-0.091872655,-0.091872655,0.496724824,0.496724824,0.496724824,0.496724824,0.496724824,0.496724824,0.496724824,1.085322303,1.085322303,1.085322303,1.085322303,1.085322303,1.085322303,1.673919783,1.673919783,-0.775405212
